X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
395007.450000003,137489.199999999,25119499,2025/08/06 21:16:33+00,EVENING,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF M STREET NW,395007.45,137489.2,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.9052457859,-77.0575593157,GEORGETOWN,2025/08/06 20:39:00+00,2025/08/06 20:40:00+00,783161606,
400246.539999999,139229.039999999,25120008,2025/08/07 20:36:27+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,400246.54,139229.04,5,5F,5,502,Cluster 21,009204 2,009204,Precinct 74,38.9209329952,-76.9971570051,,2025/08/07 19:25:00+00,,783161986,
398010.079999998,138818.940000001,25121520,2025/08/10 15:13:20+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.917236462,-77.0229457261,,2025/08/10 14:22:00+00,,783161987,
399489.520000003,137664.75,25122333,2025/08/12 00:03:56+00,EVENING,OTHERS,THEFT F/AUTO,1222 - 1299 BLOCK OF 1ST STREET NE,399489.52,137664.75,6,6E,5,501,Cluster 25,010601 1,010601,Precinct 144,38.906841232,-77.0058854763,NOMA,2025/08/10 00:00:00+00,2025/08/10 15:00:00+00,783161988,
397655.450000003,139122.829999998,25122562,2025/08/12 15:54:02+00,DAY,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF 11TH STREET NW,397655.45,139122.83,1,1B,3,305,Cluster 3,004401 1,004401,Precinct 22,38.9199731281,-77.0270359948,,2025/08/09 17:30:00+00,2025/08/09 17:30:00+00,783161989,
401076.380000003,132234.66,25124360,2025/08/15 19:59:48+00,EVENING,GUN,ROBBERY,2700 - 2799 BLOCK OF STANTON ROAD SE,401076.38,132234.66,8,8B,7,703,Cluster 37,007406 1,007406,Precinct 118,38.8579243739,-76.9875985985,,2025/08/15 18:05:00+00,2025/08/15 20:00:00+00,783161990,
396455.479999997,139555.850000001,25124944,2025/08/16 20:43:14+00,EVENING,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455.48,139555.85,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238698908,-77.0408755892,ADAMS MORGAN,2025/08/16 19:40:00+00,,783161991,
397430.659999996,136664.370000001,25422540,2025/07/23 19:33:22+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/07/02 17:08:00+00,2025/07/02 17:35:00+00,783162389,
401535.270000003,131621.84,25112842,2025/07/26 07:40:30+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,3033 - 3098 BLOCK OF STANTON ROAD SE,401535.27,131621.84,8,8C,7,704,Cluster 38,007404 1,007404,Precinct 117,38.8524031478,-76.9823129126,,2025/07/26 03:00:00+00,2025/07/26 04:46:00+00,783163496,
406284.323899999,135076.276700001,25113614,2025/07/27 19:09:30+00,EVENING,OTHERS,THEFT/OTHER,5100 - 5299 BLOCK OF D STREET SE,406284.323939785,135076.276698781,7,7E,6,604,Cluster 33,009905 3,009905,Precinct 104,38.8835010066,-76.9275698465,,2025/07/25 18:30:00+00,2025/07/26 14:00:00+00,783163497,
400075.950000003,140453.920000002,25113714,2025/07/27 20:25:46+00,EVENING,OTHERS,THEFT F/AUTO,400 - 599 BLOCK OF MICHIGAN AVENUE NE,400075.95,140453.92,5,5A,4,405,Cluster 20,009511 1,009511,Precinct 68,38.9319671312,-76.9991240412,,2025/07/27 19:04:00+00,2025/07/27 20:26:00+00,783163498,
400133.428599998,130948.2555,25114996,2025/07/29 23:31:30+00,EVENING,OTHERS,ROBBERY,500 - 699 BLOCK OF MELLON STREET SE,400133.428606077,130948.255478951,8,8C,7,707,Cluster 39,010400 3,010400,Precinct 123,38.846336534,-76.9984629656,,2025/07/29 21:40:00+00,2025/07/29 23:36:00+00,783163499,
400790.350000001,136018.670000002,25117526,2025/08/03 08:23:16+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF CONSTITUTION AVENUE NE,400790.35,136018.67,6,6A,1,108,Cluster 25,008100 2,008100,Precinct 85,38.8920125448,-76.9908897129,,2025/08/03 02:00:00+00,2025/08/03 07:30:00+00,783163760,
406518.053499997,135268.387499999,25117630,2025/08/03 14:52:32+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5300 - 5399 BLOCK OF BASS PLACE SE,406518.053540002,135268.38754696,7,7E,6,604,Cluster 33,009905 1,009905,Precinct 105,38.8852299125,-76.9248741684,,2025/08/03 13:50:00+00,,783163761,
403026.140000001,139566.199999999,25117865,2025/08/03 23:10:24+00,EVENING,OTHERS,THEFT/OTHER,2600 - 2699 BLOCK OF 31ST PLACE NE,403026.14,139566.2,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9239650649,-76.9651023497,,2025/08/01 16:30:00+00,2025/08/01 23:00:00+00,783163762,
396705.799999997,140274.399999999,25117897,2025/08/04 02:34:04+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,3140 - 3172 BLOCK OF MOUNT PLEASANT STREET NW,396705.8,140274.4,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9303437881,-77.0379923349,,2025/08/03 22:58:00+00,2025/08/04 00:50:00+00,783163763,
397131.789999999,146728.199999999,25118763,2025/08/05 17:46:05+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF ROXANNA ROAD NW,397131.79,146728.2,4,4A,4,401,Cluster 16,001600 1,001600,Precinct 62,38.9884827695,-77.0331063438,,2025/08/05 15:21:00+00,2025/08/05 17:46:00+00,783163764,
399433.549999997,141663.550000001,25118867,2025/08/05 21:48:07+00,EVENING,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF VARNUM STREET NE,399433.55,141663.55,5,5A,4,405,Cluster 19,009510 2,009510,Precinct 44,38.9428636571,-77.0065340711,,2025/08/05 19:42:00+00,2025/08/05 19:50:00+00,783163765,
401873.4322,132965.8726,25119118,2025/08/05 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,1850 - 1999 BLOCK OF U STREET SE,401873.432223691,132965.872600823,8,8A,7,701,Cluster 28,007504 2,007504,Precinct 114,38.8645101066,-76.9784134514,,2025/08/06 03:19:00+00,,783163766,
405443.240000002,138011.25,25119292,2025/08/06 15:12:45+00,DAY,OTHERS,THEFT F/AUTO,4500 - 4599 BLOCK OF DOUGLAS STREET NE,405443.24,138011.25,7,7D,6,601,Cluster 29,009601 1,009601,Precinct 92,38.9099459164,-76.9372405244,,2025/08/06 11:46:00+00,2025/08/06 11:46:00+00,783163767,
