X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
399077.490000002,138178.199999999,25117215,2025-08-02 21:08:28+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,16 - 59 BLOCK OF FLORIDA AVENUE NW,399077.49,138178.2,5.0,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19,38.9114662301,-77.0106365829,,2025-08-02 19:49:00+00:00,2025-08-02 19:49:00+00:00,784581747,,2025
398099.100000001,137620.600000001,25075462,2025-05-21 17:14:35+00:00,DAY,GUN,THEFT/OTHER,1200 - 1299 BLOCK OF 7TH STREET NW,398099.1,137620.6,2.0,2G,3.0,308.0,Cluster 7,004802 2,4802.0,Precinct 18,38.9064416062,-77.021915921,,2025-05-21 16:16:00+00:00,2025-05-21 16:20:00+00:00,784581874,,2025
397904.979999997,139683.600000001,25008126,2025-01-18 04:14:44+00:00,MIDNIGHT,GUN,ROBBERY,700 - 799 BLOCK OF FAIRMONT STREET NW,397904.98,139683.6,1.0,1E,3.0,304.0,Cluster 2,003500 1,3500.0,Precinct 37,38.9250253546,-77.0241602707,,2025-01-18 02:37:00+00:00,2025-01-18 04:00:00+00:00,784581882,,2025
406827.329999998,136094.550000001,22058767,2025-06-30 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,200 - 399 BLOCK OF 56TH STREET NE,406827.33,136094.55,7.0,7C,6.0,608.0,Cluster 31,007808 3,7808.0,Precinct 96,38.8926699447,-76.9213013002,,2022-04-28 02:21:00+00:00,2022-04-28 05:00:00+00:00,784581921,,2025
405927.229999997,137780.670000002,25111623,2025-07-24 03:22:34+00:00,MIDNIGHT,GUN,ROBBERY,1300 - 1399 BLOCK OF 49TH STREET NE,405927.23,137780.67,7.0,7C,6.0,602.0,Cluster 31,007806 2,7806.0,Precinct 93,38.9078656424,-76.931662208,,2025-07-24 00:43:00+00:00,2025-07-24 02:00:00+00:00,784582086,,2025
400541.850000001,138724.57,25020696,2025-02-12 03:26:20+00:00,EVENING,GUN,ROBBERY,1900 - 1999 BLOCK OF 9TH STREET NE,400541.85,138724.57,5.0,5C,5.0,505.0,Cluster 22,009102 3,9102.0,Precinct 72,38.9163884316,-76.9937520133,,2025-02-12 01:35:00+00:00,2025-02-12 01:39:00+00:00,784582090,,2025
401135.369999997,135773.350000001,25087597,2025-06-12 02:11:48+00:00,EVENING,GUN,ROBBERY,1300 - 1399 BLOCK OF EAST CAPITOL STREET,401135.37,135773.35,6.0,6B,1.0,107.0,Cluster 26,006700 1,6700.0,Precinct 88,38.8898022329,-76.9869131065,,2025-06-12 00:16:00+00:00,2025-06-12 00:30:00+00:00,784582380,,2025
399226.259999998,127956.75,25110442,2025-07-22 09:24:03+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,100 - 199 BLOCK OF JOLIET STREET SW,399226.26,127956.75,8.0,8D,7.0,708.0,Cluster 39,010900 2,10900.0,Precinct 126,38.819387345,-77.0089097554,,2025-07-22 01:40:00+00:00,2025-07-22 01:59:00+00:00,784582392,,2025
399843.2984,130413.993299998,25092047,2025-06-20 03:30:28+00:00,MIDNIGHT,GUN,ROBBERY,200 - 399 BLOCK OF SAVANNAH STREET SE,399843.298429808,130413.993270455,8.0,8C,7.0,707.0,Cluster 39,009803 1,9803.0,Precinct 122,38.8415236587,-77.0018050063,,2025-06-20 01:37:00+00:00,,784582647,,2025
400134.539999999,130213.309999999,25065531,2025-05-04 21:42:52+00:00,EVENING,GUN,ROBBERY,3300 - 3699 BLOCK OF 6TH STREET SE,400134.54,130213.31,8.0,8C,7.0,705.0,Cluster 39,009804 1,9804.0,Precinct 122,38.8397158173,-76.9984503066,,2025-05-04 18:53:00+00:00,2025-05-04 20:00:00+00:00,784582776,,2025
400773.520000003,140627.059999999,25064596,2025-05-03 04:42:13+00:00,MIDNIGHT,GUN,ROBBERY,12TH STREET NE AND NEWTON STREET NE,400773.51999867,140627.05999993,5.0,5B,5.0,504.0,Cluster 22,009301 2,9301.0,Precinct 68,38.9335264917,-76.9910785193,,2025-05-03 03:13:00+00:00,,784582822,,2025
400041.109999999,138778.329999998,25111126,2025-07-23 07:05:17+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1900 - 2099 BLOCK OF 5TH STREET NE,400041.11,138778.33,5.0,5F,5.0,502.0,Cluster 21,008702 1,8702.0,Precinct 75,38.9168728856,-76.9995259639,,2025-07-23 06:11:00+00:00,2025-07-23 06:15:00+00:00,784582886,,2025
398346.700000003,141276.579999998,25111039,2025-07-23 05:31:44+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,3900 - 3999 BLOCK OF 5TH STREET NW,398346.7,141276.58,4.0,4C,4.0,407.0,Cluster 18,002301 1,2301.0,Precinct 45,38.9393763462,-77.019070088,,2025-07-22 23:51:00+00:00,2025-07-22 23:52:00+00:00,784582937,,2025
399489.988899998,134459.5255,25017092,2025-02-04 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1000 - 1099 BLOCK OF 1ST STREET SE,399489.98889348,134459.525530209,6.0,8F,1.0,106.0,Cluster 27,007202 2,7202.0,Precinct 131,38.8779673826,-77.005877691,CAPITOL RIVERFRONT,2025-02-04 21:28:00+00:00,2025-02-05 03:56:00+00:00,784583150,,2025
399941.700000003,142137.300000001,25076922,2025-05-24 10:41:49+00:00,MIDNIGHT,GUN,SEX ABUSE,BATES ROAD NE AND JOHN MCCORMACK ROAD NE,399941.6999979,142137.30000133,5.0,5A,4.0,405.0,Cluster 20,009510 1,9510.0,Precinct 68,38.9471315119,-77.000672538,,2025-05-23 23:41:00+00:00,2025-05-24 03:16:00+00:00,784583171,,2025
406439.387999997,135397.6349,25113926,2025-07-28 06:03:08+00:00,MIDNIGHT,GUN,BURGLARY,119 - 199 BLOCK OF 53RD STREET SE,406439.388003929,135397.63487508,7.0,7E,6.0,604.0,Cluster 33,009905 1,9905.0,Precinct 104,38.886394801,-76.9257796407,,2025-07-28 03:37:00+00:00,2025-07-28 06:00:00+00:00,784583178,,2025
401712.500100002,132801.291499998,25119390,2025-08-06 20:50:24+00:00,EVENING,GUN,ROBBERY,1600 - 1899 BLOCK OF W STREET SE,401712.500063542,132801.29151267,8.0,8A,7.0,701.0,Cluster 28,007504 1,7504.0,Precinct 114,38.8630278199,-76.9802681957,,2025-08-06 18:07:00+00:00,2025-08-06 18:15:00+00:00,784583599,,2025
401351.142999999,130628.6811,25064142,2025-05-02 15:47:47+00:00,DAY,GUN,ROBBERY,3300 - 3399 BLOCK OF 14TH PLACE SE,401351.142975207,130628.681110654,8.0,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120,38.843456639,-76.9844360998,,2025-05-02 13:48:00+00:00,2025-05-02 15:15:00+00:00,784583619,,2025
400887.100000001,129540.82,25032045,2025-03-06 02:12:04+00:00,EVENING,GUN,ROBBERY,4026 - 4199 BLOCK OF WHEELER ROAD SE,400887.1,129540.82,8.0,8E,7.0,706.0,Cluster 39,009801 1,9801.0,Precinct 121,38.8336572844,-76.9897828422,,2025-03-05 22:36:00+00:00,2025-03-06 01:30:00+00:00,784590868,,2025
