WARD,YEAR,OFFENSE,COUNT
4.0,2021,THEFT/OTHER,886
4.0,2022,ASSAULT W/DANGEROUS WEAPON,86
4.0,2022,BURGLARY,86
4.0,2022,HOMICIDE,9
4.0,2022,MOTOR VEHICLE THEFT,292
4.0,2022,ROBBERY,152
4.0,2022,SEX ABUSE,13
4.0,2022,THEFT F/AUTO,1038
4.0,2022,THEFT/OTHER,869
4.0,2023,ASSAULT W/DANGEROUS WEAPON,90
4.0,2023,BURGLARY,71
4.0,2023,HOMICIDE,16
4.0,2023,MOTOR VEHICLE THEFT,671
4.0,2023,ROBBERY,315
4.0,2023,SEX ABUSE,8
4.0,2023,THEFT F/AUTO,945
4.0,2023,THEFT/OTHER,1021
4.0,2024,ASSAULT W/DANGEROUS WEAPON,82
4.0,2024,BURGLARY,89
4.0,2024,HOMICIDE,15
4.0,2024,MOTOR VEHICLE THEFT,427
4.0,2024,ROBBERY,181
4.0,2024,SEX ABUSE,9
4.0,2024,THEFT F/AUTO,797
4.0,2024,THEFT/OTHER,1183
4.0,2025,ASSAULT W/DANGEROUS WEAPON,48
4.0,2025,BURGLARY,43
4.0,2025,HOMICIDE,3
4.0,2025,MOTOR VEHICLE THEFT,325
4.0,2025,ROBBERY,63
4.0,2025,SEX ABUSE,3
4.0,2025,THEFT F/AUTO,580
4.0,2025,THEFT/OTHER,707
5.0,2019,ARSON,1
5.0,2019,ASSAULT W/DANGEROUS WEAPON,280
5.0,2019,BURGLARY,251
5.0,2019,HOMICIDE,18
5.0,2019,MOTOR VEHICLE THEFT,404
5.0,2019,ROBBERY,363
5.0,2019,SEX ABUSE,23
5.0,2019,THEFT F/AUTO,1836
5.0,2019,THEFT/OTHER,2077
5.0,2020,ARSON,3
5.0,2020,ASSAULT W/DANGEROUS WEAPON,303
5.0,2020,BURGLARY,192
5.0,2020,HOMICIDE,25
5.0,2020,MOTOR VEHICLE THEFT,516
5.0,2020,ROBBERY,334
5.0,2020,SEX ABUSE,19
5.0,2020,THEFT F/AUTO,1475
5.0,2020,THEFT/OTHER,1528
5.0,2021,ASSAULT W/DANGEROUS WEAPON,281
5.0,2021,BURGLARY,248
5.0,2021,HOMICIDE,25
5.0,2021,MOTOR VEHICLE THEFT,495
5.0,2021,ROBBERY,329
5.0,2021,SEX ABUSE,29
5.0,2021,THEFT F/AUTO,1512
